id,Name,processed_text,cluster_k10,cluster_k25,cluster_k50
497,"УЕК інструмент обжимний KO-01 (1,5-6,0) TKL10-D15-006",уек інструмент обжимний ko 01 1 5 6 0 tkl10 d15 006,1,2,3
498,Кнопка здвоєна Пуск-Стоп неонова УЕК APBB-22N червона+зелена 1нз+1нв BBD11-APBB-K51,кнопка здвоєна пуск стоп неонова уек apbb 22n червона зелена 1нз 1нв bbd11 apbb k51,5,11,25
499,Світильник LED IP20 2400lm 900mm Lezard 30W/6500K 465-FL90-030,світильник led ip20 2400lm 900mm lezard 30w 6500k 465 fl90 030,9,21,40
500,Коробка для 1-фазного лічильника NIK IP54 DOT.3-1,коробка для 1 фазного лічильника nik ip54 dot 3 1,4,9,21
501,Рамка 2-а горизонтальна Lezard Lesya 705-0200-147 біла,рамка 2 а горизонтальна lezard lesya 705 0200 147 біла,2,3,6
502,Таймер DIN добовий Hager інтервал 15 хвилин з резервом роботи 200 годин 3 модульний EH111 (1 перемик. контакт),таймер din добовий hager інтервал 15 хвилин з резервом роботи 200 годин 3 модульний eh111 1 перемик контакт,1,2,3
503,Роз’єм модульний до реле my4 3А E.Next e.control.p34s i.pif.14a,роз єм модульний до реле my4 3а e next e control p34s i pif 14a,8,20,38
504,Розетка із заземлюючим контактом 3-а каучукова IP44 Lezard 16А 106-0400-0101 чорна,розетка із заземлюючим контактом 3 а каучукова ip44 lezard 16а 106 0400 0101 чорна,3,8,20
505,"Силовий автоматичний вимикач E.Next i0660025 e.industrial.ukm.400SL.300, 3р, 300А",силовий автоматичний вимикач e next i0660025 e industrial ukm 400sl 300 3р 300а,1,2,5
506,Вилка 3п Legrand 16А 50172 біла,вилка 3п legrand 16а 50172 біла,2,3,6
507,"Світильник світлодіодний вологозахищений E.Next e.LED.rondo.8.4500.white, 8Вт, 4500К, IP54, білий  l0810101",світильник світлодіодний вологозахищений e next e led rondo 8 4500 white 8вт 4500к ip54 білий l0810101,1,1,1
508,"Колодязь кабельний пластиковий E.Next e.manhole.200.200.200.cover, 200х200х200мм з кришкою CP202020",колодязь кабельний пластиковий e next e manhole 200 200 200 cover 200х200х200мм з кришкою cp202020,1,2,4
509,Драйвер що регулюється для світлодіодной панелі E.Next e.LED.Panel.PRO.Driver.36.Dim1-10V  l0850018,драйвер що регулюється для світлодіодной панелі e next e led panel pro driver 36 dim1 10v l0850018,9,21,40
510,Шина Hager з’єднувальна вилочна 3-полюсна 57 модулів 10 мм.кв. FORK KDN363B,шина hager з єднувальна вилочна 3 полюсна 57 модулів 10 мм кв fork kdn363b,5,12,27
511,Корпус зовнішній прозорі дверки Vector IP65/II Hager VE118DN 18 модулів 418*302*151,корпус зовнішній прозорі дверки vector ip65 ii hager ve118dn 18 модулів 418 302 151,4,9,21
512,"Клема з’єднувальна Wago 2273-205 5*0,5-2,5 кв.мм прозора/жовта (для монолітних проводів)",клема з єднувальна wago 2273 205 5 0 5 2 5 кв мм прозора жовта для монолітних проводів,2,3,6
513,Скоба монтажна металева СКаТ СММ-18 1210184,скоба монтажна металева скат смм 18 1210184,3,7,17
514,"Колодка клемна полістирольна подільна УЕК 12* 2,5 ЗВИ-3А негорюча біла UZV4-003-04-U",колодка клемна полістирольна подільна уек 12 2 5 зви 3а негорюча біла uzv4 003 04 u,2,3,6
515,"УЕК сальник+контргайка IP54 PG13,5 (D кабелю 7-11) YSA20-12-13-54-K41",уек сальник контргайка ip54 pg13 5 d кабелю 7 11 ysa20 12 13 54 k41,4,9,21
516,Перехідник комп'ютерний 8p8c 1-1(1гніздо-1гніздо),перехідник комп ютерний 8p8c 1 1 1гніздо 1гніздо,1,2,3
517,Батарейка cольова Videx 6F22/9V крона,батарейка cольова videx 6f22 9v крона,10,25,49
518,Вилка углова пласка 3п 16A белая TIMEX-ELEKTRO WT-16UP,вилка углова пласка 3п 16a белая timex elektro wt 16up,3,5,13
519,Кабельний ввід латунний E.Next e.met.pg.stand.7 s051007,кабельний ввід латунний e next e met pg stand 7 s051007,1,2,5
520,Кабельний ввід E.Next e.pg.protect.stand.16 з опліткою діаметр провідника 10-14 мм s051005,кабельний ввід e next e pg protect stand 16 з опліткою діаметр провідника 10 14 мм s051005,1,2,4
521,"Кабельний ввід E.Next e.pg.protect.stand.13,5 з опліткою діаметр провідника 9-12 мм s051004",кабельний ввід e next e pg protect stand 13 5 з опліткою діаметр провідника 9 12 мм s051004,1,2,4
522,Кабельний ввід E.Next e.pg.protect.stand.9 з опліткою діаметр провідника 4-8 мм s051002,кабельний ввід e next e pg protect stand 9 з опліткою діаметр провідника 4 8 мм s051002,1,2,4
523,Кабельний ввід E.Next e.pg.protect.stand.7 з опліткою чорний діаметр провідника 3-6.5 мм s051001,кабельний ввід e next e pg protect stand 7 з опліткою чорний діаметр провідника 3 6 5 мм s051001,1,2,4
524,Вимикач автоматичний 2-полюсний Hager 6kA MC216A C 16A,вимикач автоматичний 2 полюсний hager 6ka mc216a c 16a,1,1,2
525,Вимикач автоматичний 2-полюсний Hager 6kA MB216A B 16A,вимикач автоматичний 2 полюсний hager 6ka mb216a b 16a,1,1,2
526,Вимикач навантаження 2-полюсний 380V Hager SBN263 63A,вимикач навантаження 2 полюсний 380v hager sbn263 63a,10,25,48
527,Шина Hager з’єднувальна вилочна 2-полюсна 12 модулів 10 мм2 FORK KDN263A,шина hager з єднувальна вилочна 2 полюсна 12 модулів 10 мм2 fork kdn263a,5,12,27
528,Вимикач автоматичний 1-полюсний Hager 6kA MC163A C 63A,вимикач автоматичний 1 полюсний hager 6ka mc163a c 63a,1,1,2
529,Рамка 2-а Регіна 13012213 біла,рамка 2 а регіна 13012213 біла,3,8,19
530,"Патрон бакелітовий E.Next e.lamp socket wall sidE.Next e.E27.bk.black, настінний Е27, чорний s9100019",патрон бакелітовий e next e lamp socket wall side next e e27 bk black настінний е27 чорний s9100019,7,15,33
531,"Патрон бакелітовий E.Next e.lamp socket wall sidE.Next e.E27.bk.black, настінний Е27, чорний s9100019",патрон бакелітовий e next e lamp socket wall side next e e27 bk black настінний е27 чорний s9100019,7,15,33
532,"Диференційне реле 2-полюсне Hager CD263J A-63/0,03А",диференційне реле 2 полюсне hager cd263j a 63 0 03а,3,4,9
533,"Диференційне реле 2-полюсне Hager CD225J А-25/0,03А",диференційне реле 2 полюсне hager cd225j а 25 0 03а,3,4,9
534,Вимикач автоматичний 1-полюсний Hager 6kA MB106A B 6A,вимикач автоматичний 1 полюсний hager 6ka mb106a b 6a,1,1,2
535,Вимикач автоматичний 1-полюсний Hager 6kA MB110A B 10A,вимикач автоматичний 1 полюсний hager 6ka mb110a b 10a,1,1,2
536,Вимикач автоматичний 1-полюсний Hager 6kA MB116A B 16A,вимикач автоматичний 1 полюсний hager 6ka mb116a b 16a,1,1,2
537,Вимикач автоматичний 2-полюсний Hager 6kA MC216A C 16A,вимикач автоматичний 2 полюсний hager 6ka mc216a c 16a,1,1,2
538,Вимикач автоматичний 1-полюсний Hager 6kA MC116A C 16A,вимикач автоматичний 1 полюсний hager 6ka mc116a c 16a,1,1,2
539,Світильник вбудований круглий LED D100 855lm Lezard 100-CCEL-4209 9W/4200K білий,світильник вбудований круглий led d100 855lm lezard 100 ccel 4209 9w 4200k білий,1,1,1
540,Корпус металевий зовнішній IP31 УЕК сірий ЩУРН-1/12зо-1 36 УХЛЗ MKM25-N-12-31-ZO,корпус металевий зовнішній ip31 уек сірий щурн 1 12зо 1 36 ухлз mkm25 n 12 31 zo,1,2,3
541,Корпус металевий зовнішній IP31 УЕК сірий ЩУРН-1/12зо-1 36 УХЛЗ MKM25-N-12-31-ZO,корпус металевий зовнішній ip31 уек сірий щурн 1 12зо 1 36 ухлз mkm25 n 12 31 zo,1,2,3
542,Корпус металевий зовнішній IP31 УЕК сірий ЩУРН-1/12зо-1 36 УХЛЗ MKM25-N-12-31-ZO,корпус металевий зовнішній ip31 уек сірий щурн 1 12зо 1 36 ухлз mkm25 n 12 31 zo,1,2,3
543,Корпус металевий зовнішній IP31 УЕК сірий ЩУРН-1/12зо-1 36 УХЛЗ MKM25-N-12-31-ZO,корпус металевий зовнішній ip31 уек сірий щурн 1 12зо 1 36 ухлз mkm25 n 12 31 zo,1,2,3
544,Реле проміжне 12V AC 10А E.Next e.control.p1042 i.ly4.12ac,реле проміжне 12v ac 10а e next e control p1042 i ly4 12ac,10,23,45
545,Патрон-перехідник Feron LH64 E27-E14 4A 3881,патрон перехідник feron lh64 e27 e14 4a 3881,10,22,43
546,"Запобіжник mini 250V ETI CH 5*20 F 2,5А 6710021",запобіжник mini 250v eti ch 5 20 f 2 5а 6710021,10,25,49
547,"Запобіжник mini 250V ETI CH 5*20 F 2,0А 6710031",запобіжник mini 250v eti ch 5 20 f 2 0а 6710031,10,25,49
548,Лампа компактна Feron 1U/2p G23 11W/4000 EST1 2270,лампа компактна feron 1u 2p g23 11w 4000 est1 2270,10,22,42
549,Розетка із заземлюючим контактом 3-а каучукова IP44 Lezard 16А 106-0400-0101 чорна,розетка із заземлюючим контактом 3 а каучукова ip44 lezard 16а 106 0400 0101 чорна,3,8,20
550,Лічильник електроенергії 1-однофазний 5(60)А НІК 2100 AP2.0000.0.11,лічильник електроенергії 1 однофазний 5 60 а нік 2100 ap2 0000 0 11,1,2,5
551,Корпус щита пластиковий IP20 з кришкою 1-2 модулі,корпус щита пластиковий ip20 з кришкою 1 2 модулі,1,2,3
552,Розетка із заземлюючим контактом Asfora EPH2900161 алюміній,розетка із заземлюючим контактом asfora eph2900161 алюміній,3,8,19
553,Рамка 2-а Asfora EPH5800261 алюміній,рамка 2 а asfora eph5800261 алюміній,3,8,19
554,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 16А MVA20-1-016-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 16а mva20 1 016 c u,1,1,2
555,Вилка углова пласка 3п 16A белая TIMEX-ELEKTRO WT-16UP,вилка углова пласка 3п 16a белая timex elektro wt 16up,3,5,13
556,ДАТЧИК РУХУ 180 Euroelectric 12m ST-08WWS білий IP44,датчик руху 180 euroelectric 12m st 08wws білий ip44,10,24,46
557,"Патрон керамічний Е27 без кріплення, мідний контакт (Без маркування) E.Next s9100117p",патрон керамічний е27 без кріплення мідний контакт без маркування e next s9100117p,1,2,5
558,"Спіральна обв'язка E.Next e.spiral.stand.3.black, 1,5-10 мм, 10м, чорна s2038010",спіральна обв язка e next e spiral stand 3 black 1 5 10 мм 10м чорна s2038010,3,6,16
559,"ШВВП провід вітчизняний 2*0,75",шввп провід вітчизняний 2 0 75,1,2,3
560,Блок N-клем Hager KN26N,блок n клем hager kn26n,3,5,12
561,Розетка із заземлюючим контактом каучукова IP44 Lezard 16А 106-0400-0102 чорна,розетка із заземлюючим контактом каучукова ip44 lezard 16а 106 0400 0102 чорна,3,8,20
562,Вилка із заземлюючим контактом кутова каучукова IP44 Lezard 16А 106-0400-0108 чорна,вилка із заземлюючим контактом кутова каучукова ip44 lezard 16а 106 0400 0108 чорна,3,8,20
563,Перемикач I-0-II 230V 2-полюсний Hager SFT240 40А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft240 40а вихід зверху,10,25,48
564,Счетчик 3 фазный 5-100А электронный активной/реактивной энергии НІК-2303L АРП1 (1000MСE) 1/2к 3*230/380В,счетчик 3 фазный 5 100а электронный активной реактивной энергии нік 2303l арп1 1000mсe 1 2к 3 230 380в,1,2,5
565,Лічильник 3 фазний 5-120А електронний активної/реактивної енергії NIK-2303 ARP3.1000.M.11 (АРП3),лічильник 3 фазний 5 120а електронний активної реактивної енергії nik 2303 arp3 1000 m 11 арп3,1,2,5
566,Перемикач I-0-II 230V 2-полюсний Hager SFT225 25А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft225 25а вихід зверху,10,25,48
567,РЕЛЕ напруги 1-ф DIN HS Electro УКН-25с,реле напруги 1 ф din hs electro укн 25с,3,5,12
568,Коробка розподільна IP55 Spelsberg 332-916 I16 130*85*37 cіра,коробка розподільна ip55 spelsberg 332 916 i16 130 85 37 cіра,4,9,21
569,Контакт замикаючий фронтальний 1NO Eaton M22-K10 216376,контакт замикаючий фронтальний 1no eaton m22 k10 216376,1,2,5
570,Перемикач I-0-II 230V 2-полюсний Hager SFT240 40А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft240 40а вихід зверху,10,25,48
571,Патрон люстровий Е14-01 білий,патрон люстровий е14 01 білий,2,3,8
572,Лічильник 3 фазний 5-120А електронний активної/реактивної енергії NIK-2303 ARP3.1000.M.11 (АРП3),лічильник 3 фазний 5 120а електронний активної реактивної енергії nik 2303 arp3 1000 m 11 арп3,1,2,5
573,"Силовий автоматичний вимикач E.Next i0010007 e.industrial.ukm.250S.160, 3р, 160А",силовий автоматичний вимикач e next i0010007 e industrial ukm 250s 160 3р 160а,1,2,5
574,Таймер DIN добовий Hager інтервал 15 хвилин з резервом роботи 200 годин 3 модульний EH111 (1 перемик. контакт),таймер din добовий hager інтервал 15 хвилин з резервом роботи 200 годин 3 модульний eh111 1 перемик контакт,1,2,3
575,Патрон до галогенових ламп G4,патрон до галогенових ламп g4,3,5,14
576,Світильник вбудований круглий LED D100 855lm Lezard 100-CCEL-4209 9W/4200K білий,світильник вбудований круглий led d100 855lm lezard 100 ccel 4209 9w 4200k білий,1,1,1
577,Розетка із заземлюючим контактом модульна УЕК РАр10-3-ОП MRD10-16-U,розетка із заземлюючим контактом модульна уек рар10 3 оп mrd10 16 u,3,4,11
578,Обмежувач УЕК на DIN-рейку YXD10,обмежувач уек на din рейку yxd10,3,4,11
579,"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА 47- 29М C 40А MVA21-2-040-C",вимикач автоматичний 2 полюсний уек 4 5ка ва 47 29м c 40а mva21 2 040 c,1,1,2
580,Світильник вбудований круглий LED D168 2280lm Lezard 168-CCEL-4224 24W/4200K,світильник вбудований круглий led d168 2280lm lezard 168 ccel 4224 24w 4200k,1,1,1
581,Кабель 2 жильний 220V DTIP-18 2540W 155м 89835582,кабель 2 жильний 220v dtip 18 2540w 155м 89835582,10,25,48
582,"Гільза мідна луджена 2,5",гільза мідна луджена 2 5,2,3,8
583,"Гільза мідна луджена 1,5",гільза мідна луджена 1 5,2,3,8
584,Гільза мідна луджена 4,гільза мідна луджена 4,2,3,8
585,Лампа люмінесцентна Osram G5 39W/840 FQ HO,лампа люмінесцентна osram g5 39w 840 fq ho,10,22,42
586,Лампа натрієва Delux Е40 400W Sodium-T 10007863,лампа натрієва delux е40 400w sodium t 10007863,10,22,41
587,Лампа люмінесцентна Osram G5 39W/840 FQ HO,лампа люмінесцентна osram g5 39w 840 fq ho,10,22,42
588,Розетка 230V панельна IP44 Mennekes 3 полюси 32А 1395,розетка 230v панельна ip44 mennekes 3 полюси 32а 1395,10,25,48
589,Світильник вбудований круглий LED D100 855lm Lezard 100-CCEL-4209 9W/4200K білий,світильник вбудований круглий led d100 855lm lezard 100 ccel 4209 9w 4200k білий,1,1,1
590,"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА 47- 29М C 16А MVA21-2-016-C",вимикач автоматичний 2 полюсний уек 4 5ка ва 47 29м c 16а mva21 2 016 c,1,1,2
591,Коробка для 1-фазного лічильника зi склом КДЕ-1 (2 модуля),коробка для 1 фазного лічильника зi склом кде 1 2 модуля,3,5,12
592,Коробка для 3-фазного електронного лічильника IP54 КДЕ-У (8 модулiв),коробка для 3 фазного електронного лічильника ip54 кде у 8 модулiв,4,9,21
593,Клема нейтральна з тримачем 1х25+8x16+8x10мм² Hager KM17N,клема нейтральна з тримачем 1х25 8x16 8x10мм² hager km17n,5,12,27
594,Модульний перемикач навантаження CNC Electric YCBZ-40 3P 40A 1-0-2 240/415V~,модульний перемикач навантаження cnc electric ycbz 40 3p 40a 1 0 2 240 415v,10,24,46
595,Корпус щита розподільний вбудований IP40 ETI DIDO-E ECM 36PT 1101013 прозора дверка,корпус щита розподільний вбудований ip40 eti dido e ecm 36pt 1101013 прозора дверка,4,9,21
596,"Клема гвинтова ETI VS 2,5 PA (0,5-2,5) 24А 3901000 бежева",клема гвинтова eti vs 2 5 pa 0 5 2 5 24а 3901000 бежева,4,10,22
597,"Вимикач автоматичний 1-п C20А Basic M 4,5kA BMS411C20 ABB 2CDS641041R0204",вимикач автоматичний 1 п c20а basic m 4 5ka bms411c20 abb 2cds641041r0204,1,1,2
598,Головка сигнальна світлодіодна 24V AC/DC E.Next e.ad22.24.green зелена s009020,головка сигнальна світлодіодна 24v ac dc e next e ad22 24 green зелена s009020,10,23,45
599,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 6,0А MVA20-1-006-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 6 0а mva20 1 006 c u,1,1,2
600,Контактор 230V Hager ESC225 25A 2нв,контактор 230v hager esc225 25a 2нв,10,25,48
601,"Кнопковий пост E.Next e.cs.stand.xal.d.174, стоп, кнопка-грибок, поворотне повернення s006016",кнопковий пост e next e cs stand xal d 174 стоп кнопка грибок поворотне повернення s006016,1,2,4
602,Заглушка бокова УЕК до ЗНИ 4-6 синя YZN10D-ZGL-006-K07,заглушка бокова уек до зни 4 6 синя yzn10d zgl 006 k07,5,11,24
603,Обмежувач УЕК на DIN-рейку YXD10,обмежувач уек на din рейку yxd10,3,4,11
604,"Зажим клемний DIN-рейку УЕК ЗНИ-2,5 24A синій YZN10-002-K07",зажим клемний din рейку уек зни 2 5 24a синій yzn10 002 k07,5,11,24
605,"Зажим клемний DIN-рейку УЕК ЗНИ-2,5 24A сiрий YZN10-002-K03",зажим клемний din рейку уек зни 2 5 24a сiрий yzn10 002 k03,5,11,24
606,Зажим клемний DIN-рейку УЕК ЗНИ- 6 50А синій YZN10-006-K07,зажим клемний din рейку уек зни 6 50а синій yzn10 006 k07,5,11,24
607,Сальник+контргайка УЕК IP54 PG 9 (D кабелю 6-7) YSA20-08-09-54-K41-U,сальник контргайка уек ip54 pg 9 d кабелю 6 7 ysa20 08 09 54 k41 u,4,9,21
608,Сальник+контргайка УЕК IP54 PG16 (D кабелю 9-13) YSA20-14-16-54-K41-U,сальник контргайка уек ip54 pg16 d кабелю 9 13 ysa20 14 16 54 k41 u,4,9,21
609,"Наконечник втулочний луджений ізольований 2,5/12",наконечник втулочний луджений ізольований 2 5 12,1,2,3
610,Короб перфорований Аско 40*25 A0070020019,короб перфорований аско 40 25 a0070020019,5,11,24
611,Сальник+контргайка УЕК IP54 PG 7 (D кабелю 5-6) YSA20-06-07-54-K41-U,сальник контргайка уек ip54 pg 7 d кабелю 5 6 ysa20 06 07 54 k41 u,4,9,21
612,"Наконечник втулочний луджений ізольований 1,5/12",наконечник втулочний луджений ізольований 1 5 12,1,2,3
613,"Наконечник втулочний луджений ізольований 0,75/ 8",наконечник втулочний луджений ізольований 0 75 8,1,2,3
614,"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА 47- 29М C 20А MVA21-2-020-C",вимикач автоматичний 2 полюсний уек 4 5ка ва 47 29м c 20а mva21 2 020 c,1,1,2
615,"Шина ""N"" E.Next s025001 e.bs.stand.1.7 (7 відгалужень)",шина n e next s025001 e bs stand 1 7 7 відгалужень,3,6,16
616,Головка сигнальна світлодіодна 24V AC/DC E.Next e.ad22.24.red червона s009021,головка сигнальна світлодіодна 24v ac dc e next e ad22 24 red червона s009021,10,23,45
617,Шина DIN перфорована E.Next s023001 L-100см e.din.stand.rail.101,шина din перфорована e next s023001 l 100см e din stand rail 101,6,14,31
618,Імпульсне реле 230V RESI9 Schneider R9C30116 16А 1 нормально відкритий контакт,імпульсне реле 230v resi9 schneider r9c30116 16а 1 нормально відкритий контакт,10,25,48
619,"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002007 10A e.mcb.stand.45.1.C10",вимикач автоматичний 1 полюсний e next 4 5ка s002007 10a e mcb stand 45 1 c10,1,1,2
620,"Вимикач автоматичний 1-полюсний E.Next 4,5кА s002008 16A e.mcb.stand.45.1.C16",вимикач автоматичний 1 полюсний e next 4 5ка s002008 16a e mcb stand 45 1 c16,1,1,2
621,Коробка установча для полих стін MB002 D65×45 Plank PLK4002400,коробка установча для полих стін mb002 d65 45 plank plk4002400,5,12,28
622,Коробка розподільна для гіпсокартона IP20 Schneider IMT35161 100*100*50,коробка розподільна для гіпсокартона ip20 schneider imt35161 100 100 50,4,9,21
623,"Пристрій захисту від імпульсних перенапруг (УЗІП, блискавкозахист) 1Р+N/20кА/10кА/1,3кВ Schneider EZ9L33620",пристрій захисту від імпульсних перенапруг узіп блискавкозахист 1р n 20ка 10ка 1 3кв schneider ez9l33620,2,3,8
624,Вимикач автоматичний 1-полюсний Hager 6kA MC140A C 40A,вимикач автоматичний 1 полюсний hager 6ka mc140a c 40a,1,1,2
625,Вимикач автоматичний 2-полюсний Hager 6kA MC240A C 40A,вимикач автоматичний 2 полюсний hager 6ka mc240a c 40a,1,1,2
626,Реле імпульсне 12V DIN Hager EPN511 (1нв) 16А,реле імпульсне 12v din hager epn511 1нв 16а,10,25,48
627,"Колодязь кабельний пластиковий E.Next e.manhole.200.200.200.cover, 200х200х200мм з кришкою CP202020",колодязь кабельний пластиковий e next e manhole 200 200 200 cover 200х200х200мм з кришкою cp202020,1,2,4
628,Лічильник 3 фазний 5-120А електронний активної/реактивної енергії NIK-2303 ARP3.1000.M.11 (АРП3),лічильник 3 фазний 5 120а електронний активної реактивної енергії nik 2303 arp3 1000 m 11 арп3,1,2,5
629,Лампа галогенова капсульна 230V Feron G5.3 20W HB6 JCD прозора 499,лампа галогенова капсульна 230v feron g5 3 20w hb6 jcd прозора 499,10,22,42
630,"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 0,75",olflex heat 180 sif провід силіконовий термостійкий 0 75,1,2,5
631,Коробка для 1-фазного лічильника зi склом КДЕ-1 (2 модуля),коробка для 1 фазного лічильника зi склом кде 1 2 модуля,3,5,12
632,Патрон люстровий з гайкою E.Next Е14 s9100006 білий,патрон люстровий з гайкою e next е14 s9100006 білий,1,2,5
633,Адаптер Legrand 50385 американський стандарт,адаптер legrand 50385 американський стандарт,3,8,18
634,ПВ-1 провід перетином 2.5,пв 1 провід перетином 2 5,2,3,8
635,"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 0,75",olflex heat 180 sif провід силіконовий термостійкий 0 75,1,2,5
636,Лічильник 1 фазний багатотарифний 5- 60А електронний A (активної енергії) NIK 2104 AP2T.1000.C.11,лічильник 1 фазний багатотарифний 5 60а електронний a активної енергії nik 2104 ap2t 1000 c 11,1,2,5
637,Драйвер що регулюється для світлодіодной панелі E.Next e.LED.Panel.PRO.Driver.36.Dim1-10V  l0850018,драйвер що регулюється для світлодіодной панелі e next e led panel pro driver 36 dim1 10v l0850018,9,21,40
638,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 16А MVA20-1-016-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 16а mva20 1 016 c u,1,1,2
639,Корпус зовнішній без дверки Volta IP30/II Hager VA12CN (VA12B) 12(14) модулів,корпус зовнішній без дверки volta ip30 ii hager va12cn va12b 12 14 модулів,2,3,7
640,"Диференційний автомат 2-полюсний УЕК тип А 6kA АВДТ 32 C 20/0,03А MAD22-5-020-C-30",диференційний автомат 2 полюсний уек тип а 6ka авдт 32 c 20 0 03а mad22 5 020 c 30,1,2,3
641,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 6,0А MVA20-1-006-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 6 0а mva20 1 006 c u,1,1,2
642,Вимикач автоматичний 4-полюсний Hager 6kA MC432А С 32A,вимикач автоматичний 4 полюсний hager 6ka mc432а с 32a,1,1,2
643,"Модульний автоматичний вимикач E.Next e.mcb.stand.45.4.C25, 4р, 25А, C, 4,5 кА s002049",модульний автоматичний вимикач e next e mcb stand 45 4 c25 4р 25а c 4 5 ка s002049,1,1,2
644,"Вимикач автоматичний 1-полюсний УЕК 4,5кА ВА47-29 C 32А MVA20-1-032-C-U",вимикач автоматичний 1 полюсний уек 4 5ка ва47 29 c 32а mva20 1 032 c u,1,1,2
645,"Вимикач автоматичний 2-полюсний УЕК 4,5кА ВА47-29 C 25А MVA20-2-025-C-U",вимикач автоматичний 2 полюсний уек 4 5ка ва47 29 c 25а mva20 2 025 c u,1,1,2
646,"Запобіжник mini 250V ETI CH 5*20 F 8,0A 6710026",запобіжник mini 250v eti ch 5 20 f 8 0a 6710026,10,25,49
647,Кріплення для труб 20мм/пакунок 100шт,кріплення для труб 20мм пакунок 100шт,3,5,12
648,"Наклейка трикутна 100*100*100мм УЕК ""Блискавка"" YPC30-MOLNI-4-096",наклейка трикутна 100 100 100мм уек блискавка ypc30 molni 4 096,5,11,24
649,"Пристрій захисту від імпульсних перенапруг (УЗІП, блискавкозахист) 1Р+N/20кА/10кА/1,3кВ Schneider EZ9L33620",пристрій захисту від імпульсних перенапруг узіп блискавкозахист 1р n 20ка 10ка 1 3кв schneider ez9l33620,2,3,8
650,"Клема з’єднувальна з нажимним важелем Wago 222-415 для 5 гнучких проводів 0,08-4 кв.мм сіра",клема з єднувальна з нажимним важелем wago 222 415 для 5 гнучких проводів 0 08 4 кв мм сіра,2,3,6
651,Коробка для 3-фазного електронного лічильника IP54 КДЕ-У (8 модулiв),коробка для 3 фазного електронного лічильника ip54 кде у 8 модулiв,4,9,21
652,Бокс для внутрішньої установки 8 модулів Lezard 730-1000-008,бокс для внутрішньої установки 8 модулів lezard 730 1000 008,3,8,20
653,Перемикач I-0-II 230V 2-полюсний Hager SFT225 25А вихід зверху,перемикач i 0 ii 230v 2 полюсний hager sft225 25а вихід зверху,10,25,48
654,Патрон до галогенових ламп G4,патрон до галогенових ламп g4,3,5,14
655,Патрон-перехідник Feron LH64 E27-E14 4A 3881,патрон перехідник feron lh64 e27 e14 4a 3881,10,22,43
656,Реле проміжне 24V AC 10А E.Next e.control.p1034 i.ly3.24ac,реле проміжне 24v ac 10а e next e control p1034 i ly3 24ac,10,23,45
657,"Реле тимчасового ввімкнення (0,3-30 сек) при подачі напруги E.Next e.control.t16 i0310028",реле тимчасового ввімкнення 0 3 30 сек при подачі напруги e next e control t16 i0310028,8,20,38
658,Патрон підвісний керамічний E.Next Е27 s9100014,патрон підвісний керамічний e next е27 s9100014,1,2,5
659,Світильник переносний 60W Е27 230V УЕК УП-1Р 5м WSP20-05-K09,світильник переносний 60w е27 230v уек уп 1р 5м wsp20 05 k09,10,25,48
660,Вимикач автоматичний 2-полюсний Hager 6kA MC225A C 25A,вимикач автоматичний 2 полюсний hager 6ka mc225a c 25a,1,1,2
661,Лічильник електроенергії 1-однофазний 5(60)А НІК 2100 AP2.0000.0.11,лічильник електроенергії 1 однофазний 5 60 а нік 2100 ap2 0000 0 11,1,2,5
662,Лічильник електроенергії 1-однофазний 5(60)А НІК 2100 AP2.0000.0.11,лічильник електроенергії 1 однофазний 5 60 а нік 2100 ap2 0000 0 11,1,2,5
663,Коробка для 1-фазного лічильника зi склом КДЕ-1 (2 модуля),коробка для 1 фазного лічильника зi склом кде 1 2 модуля,3,5,12
664,"Затискач проколюючий вітчизняний ЗПАм (магiстраль 10-95 / вiдгалудження 1,5-10)",затискач проколюючий вітчизняний зпам магiстраль 10 95 вiдгалудження 1 5 10,1,2,3
665,Корпус зовнішній прозора дверка Vector IP65/II Hager VE106D 165*190*113 6 модулів,корпус зовнішній прозора дверка vector ip65 ii hager ve106d 165 190 113 6 модулів,4,9,21
666,Викрутка-пробник електронна УЕК ОП-2е TPR20,викрутка пробник електронна уек оп 2е tpr20,3,5,12
